n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 1056.63 64 64 64 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 2104.81 128 64 64 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 4052.59 128 128 64 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 8380.69 128 128 128 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 18387.4 256 128 128 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 40828.8 256 256 128 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 80372 256 256 256 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 163659 512 256 256 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 325611 512 512 256 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 645287 512 512 512 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 1.32641e+06 1024 512 512 4 global_plan,OK
1 bench_cpu_many_nd_folds 1xE5-2670v3 10 2.8063e+06 1024 1024 512 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 517.41 64 64 64 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 983.439 128 64 64 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 2240.43 128 128 64 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 3268.24 128 128 128 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 6492.89 256 128 128 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 14900.8 256 256 128 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 27070.9 256 256 256 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 51975.7 512 256 256 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 103227 512 512 256 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 205680 512 512 512 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 409977 1024 512 512 4 global_plan,OK
48 bench_cpu_many_nd_folds 48xE5-2670v3 10 862497 1024 1024 512 4 global_plan,OK
