n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 480.252 64 64 64 4 all_on_device,NA,nstacks=24 3.61 13.18742 29.47 107.6594 2.92 10.68467
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 679.096 128 64 64 4 all_on_device,NA,nstacks=24 3.65 20.31738 39.94 222.1754 1.94 10.77315
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 1312.84 128 128 64 4 all_on_device,NA,nstacks=24 2.21 25.57419 52.6 607.5343 1.49 17.18688
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 2058.84 128 128 128 4 all_on_device,NA,nstacks=24 2.01 37.24906 48.85 905.384 0.87 16.10672
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 5111.85 256 128 128 4 all_on_device,NA,nstacks=24 1.32 63.11819 64.55 3080.0 0.39 18.71131
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 6958.62 256 256 128 4 all_on_device,NA,nstacks=24 1.79 114.7442 52.91 3400.0 0.32 20.67978
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 12683.9 256 256 256 4 all_on_device,NA,nstacks=24 1.84 216.8124 53.37 6300.0 0.17 19.84009
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 218.65 64 64 64 4 interleaved,NA,nstacks=24 0.52 0.809528 9.57 14.83596 0.8 1.235562
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 302.696 128 64 64 4 interleaved,NA,nstacks=24 0.42 0.873995 19.63 41.02384 0.84 1.747356
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 425.81 128 128 64 4 interleaved,NA,nstacks=24 0.24 0.737873 26.27 82.33068 0.36 1.133943
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 746.678 128 128 128 4 interleaved,NA,nstacks=24 0.13 0.753518 29.56 167.5497 0.2 1.117042
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 1499.77 256 128 128 4 interleaved,NA,nstacks=24 0.08 0.851783 30.83 342.7292 0.14 1.603906
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 2990.44 256 256 128 4 interleaved,NA,nstacks=24 0.04 0.900325 31.58 689.0369 0.08 1.69407
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 5955.16 256 256 256 4 interleaved,NA,nstacks=24 0.02 1.062705 34.17 1520.0 0.04 1.798832
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 11913.7 512 256 256 4 interleaved,NA,nstacks=24 0.01 1.074505 30.58 2740.0 0.02 1.896606
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 24790.1 512 512 256 4 interleaved,NA,nstacks=24 0.01 1.379083 28.92 5470.0 0.01 2.388503
1 bench_gpu_deconvolve_synthetic Tesla_K20c 10 50510.7 512 512 512 4 interleaved,NA,nstacks=24 0.01 2.036849 31.16 12100.0 0.01 3.344837
