n_devices dev_type dev_name n_repeats total_time_ms stack_dims_x stack_dims_y stack_dims_z type_width_byte comment cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 347.95 64 64 64 4 all_on_device,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 439.017 128 64 64 4 all_on_device,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 806.588 128 128 64 4 all_on_device,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 1393.35 128 128 128 4 all_on_device,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 2455.46 256 128 128 4 all_on_device,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 4596.35 256 256 128 4 all_on_device,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 10106.8 256 256 256 4 all_on_device,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 115.269 64 64 64 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 239.51 128 64 64 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 353.152 128 128 64 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 650.019 128 128 128 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 1272.06 256 128 128 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 2980.57 256 256 128 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 5304.83 256 256 256 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 12170.4 512 256 256 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 22627.5 512 512 256 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
1 bench_gpu_deconvolve_synthetic GeForce_GTX_TITAN_Black 10 44821.6 512 512 512 4 interleaved,NA,nstacks=24 0 0 0 0 0 0
